,urls,status_code,tinken_title,tinken_model,key,value,breadcrumb
46,https://www.mrosupply.com/bearings/5074871_ll687949-904a2_timken/,200,TIMKEN LL687949-904A2 TRB Double Row Assembly 36-48 OD,MODEL LL687949-904A2,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
47,https://www.mrosupply.com/bearings/5071671_ll771948-902a6_timken/,200,TIMKEN LL771948-902A6 TRB Single Assembly 18-24 OD,MODEL LL771948-902A6,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
48,https://www.mrosupply.com/bearings/5071700_ll778149-902a2_timken/,200,TIMKEN LL778149-902A2 Two TRB Single Assembly 24-36 OD,MODEL LL778149-902A2,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
49,https://www.mrosupply.com/bearings/5071675_ll789849-90012_timken/,200,TIMKEN LL789849-90012 TRB Double Row Assembly 60-80 OD,MODEL LL789849-90012,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
50,https://www.mrosupply.com/bearings/5071690_ll789949-90018_timken/,200,TIMKEN LL789949-90018 TRB Double Row Assembly 60-80 OD,MODEL LL789949-90018,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
51,https://www.mrosupply.com/bearings/5067406_ll889049-90017_timken/,200,TIMKEN LL889049-90017 TRB Double Row Assembly 48-60 OD,MODEL LL889049-90017,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
52,https://www.mrosupply.com/bearings/5067407_ll889049-90022_timken/,200,TIMKEN LL889049-90022 TRB Double Row Assembly 48-60 OD,MODEL LL889049-90022,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
53,https://www.mrosupply.com/bearings/5067408_ll889049-90023_timken/,200,TIMKEN LL889049-90023 TRB Double Row Assembly 48-60 OD,MODEL LL889049-90023,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
54,https://www.mrosupply.com/bearings/5070952_m263349dw-2_timken/,200,TIMKEN M263349DW -2 TRB Double Row Cone 12-18 OD,MODEL M263349DW -2,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Cones']"
55,https://www.mrosupply.com/bearings/5080632_nj29710mawew102ac3_timken/,200,,,[],[],[]
56,https://www.mrosupply.com/bearings/5077065_nnu40500w33c3_timken/,200,TIMKEN NNU40/500W33C3 CRB 24-36 OD Timken Multi-Row,MODEL NNU40/500W33C3,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
57,https://www.mrosupply.com/bearings/5077066_nnu49500kw33spc1_timken/,200,TIMKEN NNU49/500KW33SPC1 CRB 24-36 OD Timken Multi-Row,MODEL NNU49/500KW33SPC1,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
58,https://www.mrosupply.com/bearings/5115269_nnu49560maw33w40spc3_timken/,200,TIMKEN NNU49/560MAW33W40SPC3 CRB 24-36 OD Timken Multi-Row,MODEL NNU49/560MAW33W40SPC3,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
59,https://www.mrosupply.com/bearings/5076510_nnu49750w33c3_timken/,200,TIMKEN NNU49/750W33C3 CRB >36 Timken Multi-Row,MODEL NNU49/750W33C3,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
60,https://www.mrosupply.com/bearings/5080588_np51648m_timken/,200,TIMKEN NP51/648M CRB 12-24 OD Timken Single Row,MODEL NP51/648M,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
61,https://www.mrosupply.com/bearings/5080675_np52667m_timken/,200,TIMKEN NP52/667M CRB 12-24 OD Timken Single Row,MODEL NP52/667M,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
62,https://www.mrosupply.com/bearings/5120452_nu10530mac3_timken/,200,TIMKEN NU10/530MAC3 CRB 24-36 OD Timken Single Row,MODEL NU10/530MAC3,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
63,https://www.mrosupply.com/bearings/5078663_nu30600ew40c3_timken/,200,TIMKEN NU30/600EW40C3 CRB 24-36 OD Timken Single Row,MODEL NU30/600EW40C3,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
64,https://www.mrosupply.com/bearings/5104156_s11splt-sup_timken/,200,TIMKEN S11;SPLT SUP Split CRB Housed Unit Component,MODEL S11;SPLT SUP,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
65,https://www.mrosupply.com/bearings/5104158_s13splt-sup_timken/,200,TIMKEN S13;SPLT SUP Split CRB Housed Unit Component,MODEL S13;SPLT SUP,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
66,https://www.mrosupply.com/bearings/5104160_s15splt-sup_timken/,200,TIMKEN S15;SPLT SUP Split CRB Housed Unit Component,MODEL S15;SPLT SUP,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
67,https://www.mrosupply.com/bearings/5104162_s17splt-sup_timken/,200,TIMKEN S17;SPLT SUP Split CRB Housed Unit Component,MODEL S17;SPLT SUP,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
68,https://www.mrosupply.com/bearings/5104163_s18splt-sup_timken/,200,TIMKEN S18;SPLT SUP Split CRB Housed Unit Component,MODEL S18;SPLT SUP,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
69,https://www.mrosupply.com/bearings/5117832_saf-030k_timken/,200,TIMKEN SAF 030K SRB Pillow Block Housing Only,MODEL SAF 030K,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
70,https://www.mrosupply.com/bearings/5100161_saf-030k-x-5-14_timken/,200,TIMKEN SAF 030K X 5 1/4 SRB Pillow Block Housing Only,MODEL SAF 030K X 5 1/4,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
71,https://www.mrosupply.com/bearings/5100160_saf-030k-x-5-18_timken/,200,TIMKEN SAF 030K X 5 1/8 SRB Pillow Block Housing Only,MODEL SAF 030K X 5 1/8,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
72,https://www.mrosupply.com/bearings/5100163_saf-032k-x-5-12_timken/,200,TIMKEN SAF 032K X 5 1/2 SRB Pillow Block Housing Only,MODEL SAF 032K X 5 1/2,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
73,https://www.mrosupply.com/bearings/5100162_saf-032k-x-5-38_timken/,200,TIMKEN SAF 032K X 5 3/8 SRB Pillow Block Housing Only,MODEL SAF 032K X 5 3/8,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
74,https://www.mrosupply.com/bearings/5117830_saf-034k_timken/,200,TIMKEN SAF 034K SRB Pillow Block Housing Only,MODEL SAF 034K,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
75,https://www.mrosupply.com/bearings/5100164_saf-034k-x-5-1316_timken/,200,TIMKEN SAF 034K X 5 13/16 SRB Pillow Block Housing Only,MODEL SAF 034K X 5 13/16,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
76,https://www.mrosupply.com/bearings/5100165_saf-034k-x-5-78_timken/,200,TIMKEN SAF 034K X 5 7/8 SRB Pillow Block Housing Only,MODEL SAF 034K X 5 7/8,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
77,https://www.mrosupply.com/bearings/5100166_saf-034k-x-6_timken/,200,TIMKEN SAF 034K X 6 SRB Pillow Block Housing Only,MODEL SAF 034K X 6,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
78,https://www.mrosupply.com/bearings/5117834_saf-036k_timken/,200,TIMKEN SAF 036K SRB Pillow Block Housing Only,MODEL SAF 036K,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
79,https://www.mrosupply.com/bearings/5100169_saf-036k-x-6-12_timken/,200,TIMKEN SAF 036K X 6 1/2 SRB Pillow Block Housing Only,MODEL SAF 036K X 6 1/2,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
80,https://www.mrosupply.com/bearings/5100168_saf-036k-x-6-38_timken/,200,TIMKEN SAF 036K X 6 3/8 SRB Pillow Block Housing Only,MODEL SAF 036K X 6 3/8,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
81,https://www.mrosupply.com/bearings/5100170_saf-038k-x-6-1316_timken/,200,TIMKEN SAF 038K X 6 13/16 SRB Pillow Block Housing Only,MODEL SAF 038K X 6 13/16,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
82,https://www.mrosupply.com/bearings/5100171_saf-038k-x-6-78_timken/,200,TIMKEN SAF 038K X 6 7/8 SRB Pillow Block Housing Only,MODEL SAF 038K X 6 7/8,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
83,https://www.mrosupply.com/bearings/5117826_saf-040k_timken/,200,TIMKEN SAF 040K SRB Pillow Block Housing Only,MODEL SAF 040K,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
84,https://www.mrosupply.com/bearings/5100173_saf-040k-x-7-18_timken/,200,TIMKEN SAF 040K X 7 1/8 SRB Pillow Block Housing Only,MODEL SAF 040K X 7 1/8,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
85,https://www.mrosupply.com/bearings/5078108_saf-044-x-8_timken/,200,TIMKEN SAF 044 X 8 SRB Pillow Block Housing Only,MODEL SAF 044 X 8,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
86,https://www.mrosupply.com/bearings/5117831_saf-044k_timken/,200,TIMKEN SAF 044K SRB Pillow Block Housing Only,MODEL SAF 044K,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
87,https://www.mrosupply.com/bearings/5100175_saf-044k-x-7-1316_timken/,200,TIMKEN SAF 044K X 7 13/16 SRB Pillow Block Housing Only,MODEL SAF 044K X 7 13/16,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
88,https://www.mrosupply.com/bearings/5100176_saf-044k-x-7-78_timken/,200,TIMKEN SAF 044K X 7 7/8 SRB Pillow Block Housing Only,MODEL SAF 044K X 7 7/8,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
89,https://www.mrosupply.com/bearings/5078110_saf-048-x-8-12_timken/,200,TIMKEN SAF 048 X 8 1/2 SRB Pillow Block Housing Only,MODEL SAF 048 X 8 1/2,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
90,https://www.mrosupply.com/bearings/5078139_saf-048-x-8-1516_timken/,200,TIMKEN SAF 048 X 8 15/16 SRB Pillow Block Housing Only,MODEL SAF 048 X 8 15/16,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
